Population (Millions of people);2018;2019;2020;2021;2022
Uganda;38,823;39,823;41,222;42,46;43,95
Ukraine;41,984;41,733;41,419;40,998;34,511
United Arab Emirates;9,367;9,504;9,282;9,558;10,281
United Kingdom;66,436;66,797;67,081;67,28;67,791
United States;327,023;328,547;331,269;332,33;333,508
Uruguay;3,506;3,519;3,531;3,543;3,555
Uzbekistan;32,657;33,256;33,905;34,559;35,271
Vanuatu;0,285;0,292;0,302;0,312;0,323
Venezuela;28,903;27,817;27,951;27,586;26,917
Vietnam;94,666;96,484;97,583;98,506;99,462
State Of Palestine;4,854;4,977;5,101;5,227;5,355
Yemen;30,415;31,166;31,927;32,641;33,322
Zambia;17,836;18,38;18,928;19,473;20,018
Zimbabwe;14,968;15,268;15,582;15,904;16,229
